year,code,sido,sigungu,region,subjective_health_crude,subjective_health_std,stress_crude,stress_std,depression_crude,depression_std,suicide_ideation_crude,suicide_ideation_std,suicide_attempt_crude,suicide_attempt_std,eq5d_crude,eq5d_std,happiness_crude,happiness_std,stress_counseling_crude,stress_counseling_std,depression_counseling_crude,depression_counseling_std,suicide_mortality_std_total,is_national
2024,21000,부산광역시,부산광역시,부산광역시,40.8,47.9,20.3,22.6,6.8,6.3,7.0,6.2,,,0.945,0.962,7.0,7.1,15.2,15.3,,,,False
2024,22000,대구광역시,대구광역시,대구광역시,46.9,54.1,20.2,21.9,5.6,5.4,5.6,5.1,,,0.952,0.965,7.0,7.1,12.9,12.5,,,,False
2024,23000,인천광역시,인천광역시,인천광역시,40.9,45.1,23.9,25.5,6.9,6.4,9.0,8.3,,,0.952,0.962,7.1,7.2,13.4,14.7,,,,False
2024,24000,광주광역시,광주광역시,광주광역시,51.3,56.7,23.0,24.7,5.6,5.0,5.6,4.9,,,0.959,0.97,7.0,7.1,8.9,9.6,,,,False
2024,25000,대전광역시,대전광역시,대전광역시,53.7,59.7,24.3,25.4,6.1,5.9,5.2,4.9,,,0.957,0.967,7.2,7.3,10.7,10.7,,,,False
2024,26000,울산광역시,울산광역시,울산광역시,41.9,46.1,20.3,22.2,7.5,7.2,8.3,7.8,,,0.953,0.96,7.0,7.1,14.0,13.8,,,,False
2024,29000,세종특별자치시,세종특별자치시,세종특별자치시,45.3,48.1,22.8,23.8,7.5,7.4,10.6,10.2,,,0.944,0.948,7.4,7.4,17.9,16.7,,,,False
2024,31000,경기도,경기도,경기도,44.9,49.0,23.6,24.9,7.1,6.9,7.1,6.6,,,0.952,0.96,7.1,7.2,13.3,14.0,,,,False
2024,32000,강원도,강원도,강원도,38.2,44.4,20.9,24.4,6.7,6.3,6.8,6.1,,,0.94,0.958,7.1,7.2,11.4,11.5,,,,False
2024,33000,충청북도,충청북도,충청북도,43.8,49.9,20.1,21.9,6.7,6.5,6.8,5.8,,,0.945,0.961,7.2,7.2,12.7,13.4,,,,False
2024,34000,충청남도,충청남도,충청남도,39.3,45.4,22.4,24.6,8.2,7.6,9.6,8.5,,,0.931,0.948,7.1,7.1,15.6,16.5,,,,False
2024,35000,전라북도,전라북도,전라북도,41.0,48.5,22.7,24.8,6.9,6.1,7.4,5.9,,,0.938,0.96,7.0,7.1,12.9,12.0,,,,False
2024,36000,전라남도,전라남도,전라남도,40.7,49.0,19.9,21.9,5.1,5.0,6.4,5.1,,,0.935,0.961,7.1,7.2,7.9,7.8,,,,False
2024,37000,경상북도,경상북도,경상북도,38.7,46.5,19.3,21.6,7.1,6.8,7.0,6.3,,,0.94,0.96,7.0,7.2,11.4,12.0,,,,False
2024,38000,경상남도,경상남도,경상남도,41.1,47.3,18.9,20.5,6.0,5.6,6.2,5.5,,,0.95,0.965,7.1,7.2,11.7,12.1,,,,False
2024,39000,제주특별자치도,제주특별자치도,제주특별자치도,51.3,56.5,23.3,25.8,5.1,4.9,6.1,5.7,,,0.95,0.961,7.2,7.3,13.5,14.0,,,,False
